iter	Logloss
126	0.4614950402
127	0.4614475828
128	0.4613543635
129	0.4612852542
130	0.4612008513
131	0.4610198221
132	0.4609226317
133	0.460870142
134	0.4607694772
135	0.4606818334
136	0.4605894898
137	0.4605303987
138	0.4604970912
139	0.4604460372
140	0.4603756901
141	0.4602825906
142	0.4601960755
143	0.4601218808
144	0.4600730223
145	0.4600239734
146	0.4599644449
147	0.4598350812
148	0.4597772246
149	0.4597404317
150	0.4596740122
151	0.4595964819
152	0.4595118466
153	0.4594688431
154	0.4594283655
155	0.4593770731
156	0.4593308508
157	0.4592439964
158	0.4592163819
159	0.4591737993
160	0.4591099421
161	0.459042778
162	0.4589708119
163	0.4588540765
164	0.4587889155
165	0.4586770666
166	0.4586091087
167	0.4585267567
168	0.4584760914
169	0.4584017919
170	0.4583304117
171	0.4582716779
172	0.4582138244
173	0.4581684803
174	0.4581191667
175	0.4580815299
176	0.4580082378
177	0.4579648619
178	0.4578814797
179	0.4578214274
180	0.4577925309
181	0.4577693403
182	0.4577331247
183	0.457681227
184	0.457587005
185	0.4575549266
186	0.4575085671
187	0.4574196094
188	0.457325269
189	0.4572949458
190	0.4572512971
191	0.4572302391
192	0.4571170908
193	0.4570407367
194	0.4569947906
195	0.4569671288
196	0.4568926207
197	0.4568235749
198	0.4567622428
199	0.4567354815
200	0.4566838788
201	0.456634975
202	0.4565811015
203	0.456547745
204	0.4564652179
205	0.4564097576
206	0.4563664012
207	0.4563265819
208	0.4562799088
209	0.4562273699
210	0.4562002908
211	0.456136913
212	0.4561030667
213	0.4560501412
214	0.4560078032
215	0.4559823
216	0.4559020833
217	0.4558416037
218	0.4557599908
219	0.4557149058
220	0.4556652633
221	0.4556002971
222	0.4555489432
223	0.45549887
224	0.4554147215
225	0.4553557843
226	0.4552825138
227	0.4552034867
228	0.4551121461
229	0.4550374033
230	0.4549688325
231	0.4548838794
232	0.4548216902
233	0.4547926957
234	0.4546971076
235	0.4546321465
236	0.4545893869
237	0.4545358842
238	0.4544870253
239	0.4544086566
240	0.4543337894
241	0.4542835504
242	0.4542295
243	0.4541561869
244	0.4540699016
245	0.4539895467
246	0.4539261288
247	0.4538556795
248	0.4538192442
249	0.4537524534
250	0.4536546082
251	0.4536120634
252	0.4535413552
253	0.4534736538
254	0.4533857016
255	0.4533252635
256	0.4532204174
257	0.4531487612
258	0.4530842932
259	0.4530250228
260	0.4529239575
261	0.4528363061
262	0.4527838056
263	0.45269093
264	0.4526158807
265	0.4525583416
266	0.452492738
267	0.4524358952
268	0.4523507774
269	0.452267297
270	0.4521975579
271	0.4521311706
272	0.4520307062
273	0.4519509535
274	0.4518676868
275	0.4518176092
276	0.4517052067
277	0.4516318577
278	0.4515564516
279	0.4514714984
280	0.4513875968
281	0.4513088496
282	0.4512579837
283	0.4511801523
284	0.4511015181
285	0.4510231825
286	0.4509763913
287	0.4509386621
288	0.4508376566
289	0.4508029199
290	0.4507129058
291	0.450677794
292	0.4506110705
293	0.4505688741
294	0.4504769684
295	0.4504128518
296	0.4503216358
297	0.450237306
298	0.4501557693
299	0.4500907085
300	0.450021653
301	0.4499395672
302	0.4498709059
303	0.4497984438
304	0.4497175692
305	0.4496517082
306	0.4495793627
307	0.4495249774
308	0.4494725365
309	0.4494329064
310	0.4493815593
311	0.4493231982
312	0.4492548446
313	0.449189627
314	0.449127139
315	0.4490548171
316	0.4490025103
317	0.4489168599
318	0.4488679881
319	0.4488026161
320	0.4487568596
321	0.4486859456
322	0.4486086888
323	0.4485691392
324	0.4485019937
325	0.4484688792
326	0.4484036864
327	0.448356172
328	0.4482877514
329	0.4482124658
330	0.4481537382
331	0.4481074882
332	0.4480532071
333	0.4480023766
334	0.4479289014
335	0.4478712024
336	0.4478043319
337	0.4477577293
338	0.4477144456
339	0.4476458637
340	0.447585329
341	0.4475223362
342	0.4474236404
343	0.4473637918
344	0.4472920679
345	0.4472375572
