iter	Logloss
0	0.6709454688
1	0.6520052807
2	0.6350865628
3	0.6193973233
4	0.6058165419
5	0.595024423
6	0.5840680331
7	0.573815565
8	0.5648764042
9	0.5571096727
10	0.5506011539
11	0.5441740743
12	0.5386319415
13	0.5334244219
14	0.5290256331
15	0.5248198179
16	0.5210626172
17	0.5179920265
18	0.514662852
19	0.5117289385
20	0.5087628883
21	0.5062482761
22	0.5039872366
23	0.5017777275
24	0.5000723891
25	0.4983506055
26	0.4969002672
27	0.4954788397
28	0.493930827
29	0.4925084297
30	0.4912249036
31	0.4900920905
32	0.489022968
33	0.4878133946
34	0.4867562227
35	0.4857380772
36	0.4848856983
37	0.484060559
38	0.4832442452
39	0.4824716171
40	0.4817280745
41	0.481127083
42	0.4804782154
43	0.4799533434
44	0.4792752963
45	0.4786972598
46	0.4782804979
47	0.4778190164
48	0.4772700388
49	0.4768181578
50	0.4763854297
51	0.4758821908
52	0.4755738672
53	0.4751803977
54	0.4747561732
55	0.4742642752
56	0.4739092472
57	0.4735536298
58	0.4731759712
59	0.4729120347
60	0.4726157262
61	0.4722916587
62	0.4719015984
63	0.4715692925
64	0.4713525754
65	0.4710524804
66	0.4707718685
67	0.4705089458
68	0.4702672061
69	0.4699985674
70	0.4697097487
71	0.469517575
72	0.4693127363
73	0.469107394
74	0.4688947062
75	0.4687465618
76	0.4684899525
77	0.468233122
78	0.4679895998
79	0.467803899
80	0.4675903259
81	0.4673347106
82	0.4671063074
83	0.4668493453
84	0.4667059992
85	0.4666226139
86	0.4664722475
87	0.4663011002
88	0.4660702634
89	0.4659555854
90	0.4658277687
91	0.4656351458
92	0.4654904963
93	0.4653062066
94	0.4651984042
95	0.4650499306
96	0.4649166876
97	0.4647867183
98	0.4646920694
99	0.464544862
100	0.4643800917
101	0.464214809
102	0.4640728867
103	0.4639138125
104	0.4638146367
105	0.4636745759
106	0.4635191977
107	0.4633781357
108	0.4632771483
109	0.4631866832
110	0.4630716207
111	0.4630077429
112	0.4628443073
113	0.4626886137
114	0.462561661
115	0.4624490677
116	0.4623808235
117	0.4623190961
118	0.4622472904
119	0.4620985542
120	0.4620019972
121	0.4618900005
122	0.4617900551
123	0.4617393769
124	0.4616712857
125	0.4615568837
